,name,broad_category,category,description,history,famous_view,image_1,image_2,image_3,image_4,image_5,location,best_time,entry_fee,rating,latitude,longitude,source,search_text
22,Garden of Five Senses,"Open Fields, Gardens & Nature",Garden / Leisure & Public Art Park,"A 20-acre experiential public park designed to stimulate the five senses with thematic gardens, solar energy parks, water cascades, and stone sculptures.","Inaugurated in February 2003 by the Delhi Tourism and Transportation Development Corporation (DTTDC). Designed by architect Pradeep Sachdeva on rocky Aravalli terrain, the park is divided into distinct zones including Khas Bagh (formal Mughal garden pattern), Neel Bagh (water lily pools), the Solar Energy Park, and bell trees with chime sculptures.",Central spiral pathway leading to the stainless steel bell tree art installations against flowering terracotta flower terraces.,images/22/Image_1.jpg,images/22/Image_2.jpg,images/22/Image_3.jpg,images/22/Image_4.jpg,images/22/Image_5.jpg,"Said-ul-Ajaib, Near Saket Metro Station, South Delhi",October to March (Especially February during the Annual Delhi Garden Tourism Festival),"₹35 (Adults), ₹15 (Children / Seniors)",4.3,28.5148,77.2028,Delhi Tourism (DTTDC),"Name: Garden of Five Senses. Category: Garden / Leisure & Public Art Park. Description: A 20-acre experiential public park designed to stimulate the five senses with thematic gardens, solar energy parks, water cascades, and stone sculptures.. Location: Said-ul-Ajaib, Near Saket Metro Station, South Delhi. Best Time: October to March (Especially February during the Annual Delhi Garden Tourism Festival)."
23,Aravalli Biodiversity Park,"Open Fields, Gardens & Nature",Open Field / Forest & Biodiversity Reserve,"A 692-acre restored ecological wilderness reserve preserving the native flora, fauna, and rocky ridges of the ancient Aravalli hill ecosystem.","Established in 2004 through a joint ecological restoration initiative by the Delhi Development Authority (DDA) and Delhi University CEMDE under Prof. C.R. Babu. Formerly heavily mined and infested with invasive Vilayati Kikar (Prosopis juliflora), it has been transformed into a self-sustaining native forest harboring over 200 species of native trees, shrubs, and rich wildlife including nilgai, porcupines, and 190+ bird species.",Elevated view from the rocky ridge trail looking across miles of native Dhau tree canopy extending towards the horizon.,images/23/Image_1.jpg,images/23/Image_2.jpg,images/23/Image_3.jpg,images/23/Image_4.jpg,images/23/Image_5.jpg,"Vasant Kunj / Mahipalpur, South Delhi",October to March (Morning 6:30 AM – 9:30 AM for nature walks and birding),Free (Guided educational walks available),4.5,28.5467,77.1458,DDA / Centre for Environmental Management of Degraded Ecosystems,"Name: Aravalli Biodiversity Park. Category: Open Field / Forest & Biodiversity Reserve. Description: A 692-acre restored ecological wilderness reserve preserving the native flora, fauna, and rocky ridges of the ancient Aravalli hill ecosystem.. Location: Vasant Kunj / Mahipalpur, South Delhi. Best Time: October to March (Morning 6:30 AM – 9:30 AM for nature walks and birding)."
24,Yamuna Biodiversity Park,Lakes & Water Bodies,Open Field / Wetland & Forest Ecological Preserve,A 457-acre wetland and river floodplain ecological sanctuary in North Delhi preserving historic Yamuna river ecosystems and bird breeding grounds.,"Developed in 2002 by the DDA in collaboration with the CEMDE to restore degraded floodplains of the Yamuna River. The park features two main zones: a visitor zone with conservatory wetlands and grasslands, and an active flood plain zone supporting rare flora and migratory birds such as red-crested pochards, tufted ducks, and Eurasian wigeons.",Panoramic observation deck view looking out over the primary wetland pond surrounded by reedbeds and aquatic fowl.,images/24/Image_1.jpg,images/24/Image_2.jpg,images/24/Image_3.jpg,images/24/Image_4.jpg,images/24/Image_5.jpg,"Near Wazirabad Village, Jagatpur, North Delhi",November to February (Morning 8:00 AM – 11:00 AM for guided nature tours),Free (Prior booking for guided group tours recommended),4.5,28.7554,77.2319,DDA Biodiversity Parks Programme,"Name: Yamuna Biodiversity Park. Category: Open Field / Wetland & Forest Ecological Preserve. Description: A 457-acre wetland and river floodplain ecological sanctuary in North Delhi preserving historic Yamuna river ecosystems and bird breeding grounds.. Location: Near Wazirabad Village, Jagatpur, North Delhi. Best Time: November to February (Morning 8:00 AM – 11:00 AM for guided nature tours)."
25,Swarn Jayanti Park (Japanese Park),Lakes & Water Bodies,Open Field / Urban Mega Park & Lake,"A sprawling 250-acre recreational park in Rohini featuring lush open green meadows, boating lakes, jogging tracks, and Japanese-style landscaping.","Developed by the Delhi Development Authority in the late 1990s to celebrate 50 years of Indian Independence (Swarna Jayanti). The park is locally known as 'Japanese Park' due to its clean aesthetic, rock gardens, and bamboo groves. It features multi-acre open grassy lawns, a playground zone, and multiple artificial lakes supporting boating.",Expansive view of the main central lawn meadow stretching towards the boating lake and arched bridges.,images/25/Image_1.jpg,images/25/Image_2.jpg,images/25/Image_3.jpg,images/25/Image_4.jpg,images/25/Image_5.jpg,"Sector 10, Rohini, North West Delhi",October to March (Morning 6:00 AM – 9:00 AM or late afternoon picnics),Free,4.4,28.7145,77.1147,Delhi Development Authority (DDA),"Name: Swarn Jayanti Park (Japanese Park). Category: Open Field / Urban Mega Park & Lake. Description: A sprawling 250-acre recreational park in Rohini featuring lush open green meadows, boating lakes, jogging tracks, and Japanese-style landscaping.. Location: Sector 10, Rohini, North West Delhi. Best Time: October to March (Morning 6:00 AM – 9:00 AM or late afternoon picnics)."
26,Central Park (Connaught Place),"Open Fields, Gardens & Nature",Open Field / Urban Landmark & Public Garden,"A famous 4-acre circular open green park situated at the epicenter of Connaught Place, featuring the monumental Indian Tricolor and musical water fountains.","Created during the construction of Connaught Place in the 1930s as the focal roundabout hub of Edwin Lutyens and Robert Tor Russell's imperial master plan. Extensively reconstructed atop Rajiv Chowk Metro station in 2005–2006, the park features a 207-foot monumental national flag mast inaugurated in 2014, making it a focal venue for cultural festivals and open-air musical concerts.","Looking up at the 207-foot giant Indian National Flag waving above the circular lawns, framed by colonial white colonnades of Connaught Place.",images/26/image_1.jpg,images/26/image_2.jpg,images/26/image_3.jpg,images/26/image_4.jpg,images/26/image_5.jpg,"Inner Circle, Connaught Place, New Delhi",Year-round (Evenings 5:30 PM – 8:30 PM during musical fountain shows),Free,4.5,28.6328,77.2195,New Delhi Municipal Council (NDMC),"Name: Central Park (Connaught Place). Category: Open Field / Urban Landmark & Public Garden. Description: A famous 4-acre circular open green park situated at the epicenter of Connaught Place, featuring the monumental Indian Tricolor and musical water fountains.. Location: Inner Circle, Connaught Place, New Delhi. Best Time: Year-round (Evenings 5:30 PM – 8:30 PM during musical fountain shows)."
27,Deer Park (A.N. Jha Deer Park),"Open Fields, Gardens & Nature",Open Field / Park & Wildlife Sanctuary,"A peaceful 60-acre green park housing spotted deer enclosures, duck lakes, peacocks, and medieval monuments connecting directly to Hauz Khas Lake.","Named in memory of prominent civil servant Aditya Nath Jha, this park was established in the 1960s to protect the green corridor between Hauz Khas and Safdarjung Enclave. It contains several Lodi and Mughal era structures, including Bagh-i-Alam Gumbad and Kali Gumti, along with breeding enclosures for spotted deer (chital) and roaming peacocks.",Spotted deer grazing in the grassy open field under shady neem trees with medieval domed tombs in the background.,images/27/image_1.jpeg,images/27/image_2.jpeg,images/27/image_3.jpeg,images/27/image_4.jpg,images/27/image_5.JPG,"Hauz Khas / Safdarjung Enclave, South Delhi",October to March (Morning 6:00 AM – 9:00 AM for bird and deer sightings),Free,4.4,28.5562,77.195,Delhi Development Authority (DDA),"Name: Deer Park (A.N. Jha Deer Park). Category: Open Field / Park & Wildlife Sanctuary. Description: A peaceful 60-acre green park housing spotted deer enclosures, duck lakes, peacocks, and medieval monuments connecting directly to Hauz Khas Lake.. Location: Hauz Khas / Safdarjung Enclave, South Delhi. Best Time: October to March (Morning 6:00 AM – 9:00 AM for bird and deer sightings)."
28,Millennium Indraprastha Park,"Open Fields, Gardens & Nature",Open Field / Grand Urban Park & Peace Stupa,An 85-acre landscaped urban park along the Ring Road featuring expansive undulating green mounds and the shining white Vishwa Shanti Stupa.,"Inaugurated in the year 2000 by the Delhi Development Authority to commemorate the new millennium. Formerly an ash dump site, it underwent massive ecological landscaping into rolling green hills, bamboo thickets, and rose gardens. In 2007, the majestic Vishwa Shanti Stupa (World Peace Pagoda) was inaugurated inside the park by His Holiness the Dalai Lama.",The pristine white dome and golden spire of the Vishwa Shanti Stupa rising majestically over the green grass mounds.,images/28/image_1.jpeg,images/28/image_2.jpeg,images/28/image_3.jpeg,images/28/image_4.jpeg,images/28/image_5.jpeg,"Outer Ring Road, Sarai Kale Khan, South East Delhi",October to March (Late afternoon sunset 4:30 PM – 6:30 PM),Free,4.3,28.5986,77.2568,Delhi Development Authority (DDA),"Name: Millennium Indraprastha Park. Category: Open Field / Grand Urban Park & Peace Stupa. Description: An 85-acre landscaped urban park along the Ring Road featuring expansive undulating green mounds and the shining white Vishwa Shanti Stupa.. Location: Outer Ring Road, Sarai Kale Khan, South East Delhi. Best Time: October to March (Late afternoon sunset 4:30 PM – 6:30 PM)."
29,Coronation Park (Durbar Ground),"Open Fields, Gardens & Nature",Historical Open Field / Memorial Park,"The historic open ground where the British Imperial Durbars of 1877, 1903, and 1911 were celebrated, featuring the monumental King George V statue.","Site of the three historic Delhi Durbars: Queen Victoria proclaimed Empress of India in 1877, Edward VII's coronation in 1903, and King George V's grand coronation durbar on 12 December 1911 when the transfer of India's capital from Calcutta to Delhi was officially declared. After Independence, colonial statues from across New Delhi, including the 70-foot tall marble statue of King George V, were relocated here.",The towering King George V marble obelisk and statue standing tall above the vast open Durbar plains.,images/29/image_1.JPG,images/29/image_2.jpg,images/29/image_3.jpg,images/29/image_4.jpg,images/29/image_5.JPG,"Burari Road, Bhai Parmanand Colony, North Delhi",October to March (Morning 8:00 AM – 11:00 AM),Free,4.1,28.7208,77.1994,Delhi Development Authority (DDA) / INTACH,"Name: Coronation Park (Durbar Ground). Category: Historical Open Field / Memorial Park. Description: The historic open ground where the British Imperial Durbars of 1877, 1903, and 1911 were celebrated, featuring the monumental King George V statue.. Location: Burari Road, Bhai Parmanand Colony, North Delhi. Best Time: October to March (Morning 8:00 AM – 11:00 AM)."
30,Jahanpanah City Forest,"Open Fields, Gardens & Nature",Open Field / Urban Forest & Wilderness Track,A dense 435-acre urban deciduous forest offering nearly 7 kilometers of paved wilderness running tracks and wildlife canopy in South Delhi.,"Occupies part of the historical territory of Jahanpanah ('Refuge of the World'), the fourth medieval city of Delhi established in 1326–1327 by Muhammad bin Tughlaq to bridge Siri Fort and Qila Rai Pithora. Protected and maintained by the DDA, this preserved urban forest is densely populated with native Keekar, Neem, and Peepal trees, providing refuge to peacocks, nilgai, and migratory birds.",Sun-dappled cobblestone jogging trail winding through thick green forest canopy at dawn.,images/30/image_1.jpeg,images/30/image_2.avif,images/30/image_3.jpeg,images/30/image_4.jpg,images/30/image_5.jpeg,"Greater Kailash II / Chirag Delhi / Alaknanda, South Delhi",October to March (Early morning 5:30 AM – 8:30 AM for fitness & fresh air),Free,4.4,28.5303,77.2348,Delhi Development Authority (DDA),"Name: Jahanpanah City Forest. Category: Open Field / Urban Forest & Wilderness Track. Description: A dense 435-acre urban deciduous forest offering nearly 7 kilometers of paved wilderness running tracks and wildlife canopy in South Delhi.. Location: Greater Kailash II / Chirag Delhi / Alaknanda, South Delhi. Best Time: October to March (Early morning 5:30 AM – 8:30 AM for fitness & fresh air)."
31,Talkatora Garden,"Open Fields, Gardens & Nature",Garden / Historical Open Field Park,"A historic Mughal-era garden situated in Central Delhi featuring terraced lawns, water cascades, and a bowl-shaped sunken amphitheatre reservoir.","Dates back to the Mughal period when it featured a natural tank (Tal) shaped like a bowl (Katora) and served as an imperial campsite. In 1738, the historic Battle of Delhi between the Maratha Empire led by Peshwa Baji Rao I and the Mughal forces took place here. In modern times, the NDMC developed it into an ornamental garden featuring blooming flowerbeds and the adjacent Talkatora Indoor Stadium.",Terraced manicured flower gardens looking down toward the central ornamental water pool and curved pavilions.,images/31/image_1.jpeg,images/31/image_2.jpeg,images/31/image_3.jpeg,images/31/image_4.jpeg,images/31/image_5.jpeg,"Willingdon Crescent, President's Estate, Central New Delhi",October to March (Morning 6:00 AM – 9:00 AM or spring flower season),Free,4.4,28.6198,77.1902,New Delhi Municipal Council (NDMC),"Name: Talkatora Garden. Category: Garden / Historical Open Field Park. Description: A historic Mughal-era garden situated in Central Delhi featuring terraced lawns, water cascades, and a bowl-shaped sunken amphitheatre reservoir.. Location: Willingdon Crescent, President's Estate, Central New Delhi. Best Time: October to March (Morning 6:00 AM – 9:00 AM or spring flower season)."
32,Roshanara Bagh,"Open Fields, Gardens & Nature",Garden / Historical Mughal Pleasure Garden,"A historic 17th-century Mughal pleasure garden laid out by Shah Jahan's daughter Roshanara Begum, housing her marble pavilion tomb and cricket grounds.","Laid out in 1650 by Princess Roshanara Begum, the brilliant younger daughter of Mughal Emperor Shah Jahan and Mumtaz Mahal. After supporting Aurangzeb during the war of succession, she retired to this garden palace where her open marble-pillared tomb remains today. In 1928, the historic Roshanara Club within the gardens witnessed the founding of the Board of Control for Cricket in India (BCCI).",The intricately carved white marble Baradari pavilion tomb surrounded by ancient banyan trees and rose bushes.,images/32/image 1.jpg,images/32/image 2.jpg,images/32/image 3.jpg,images/32/image 4.jpg,images/32/image 5.jpg,"Malka Ganj / Kamla Nagar, North Delhi",October to March (Morning 7:00 AM – 10:00 AM),Free,4.2,28.6715,77.2001,Archaeological Survey of India (ASI) / North DMC,"Name: Roshanara Bagh. Category: Garden / Historical Mughal Pleasure Garden. Description: A historic 17th-century Mughal pleasure garden laid out by Shah Jahan's daughter Roshanara Begum, housing her marble pavilion tomb and cricket grounds.. Location: Malka Ganj / Kamla Nagar, North Delhi. Best Time: October to March (Morning 7:00 AM – 10:00 AM)."
33,"Amrit Udyan (Mughal Gardens, Rashtrapati Bhavan)","Open Fields, Gardens & Nature",Garden / Presidential Heritage Gardens,"The world-famous 15-acre presidential garden blending Mughal Charbagh layouts with English country florals, boasting 150+ varieties of rare roses.","Designed in 1917 by Sir Edwin Lutyens for the Viceroy's House in collaboration with director of horticulture William Mustoe. Combining classic Islamic four-quadrant canal architecture with tiered circular English herbaceous terraces, it features East and West lawns, the Purdah Garden, Musical Garden, and Circular Sunken Garden. In January 2023, it was officially renamed 'Amrit Udyan' as part of Azadi ka Amrit Mahotsav.",Direct perspective of the majestic Rashtrapati Bhavan central dome overlooking tiered beds of multicolored blooming Dutch tulips and roses.,images/33/image 1.jpg,images/33/image 2.jpg,images/33/image 3.jpg,images/33/image 4.jpg,images/33/image 5.jpg,"Rashtrapati Bhavan, Raisina Hill, New Delhi",February to March during annual public opening season (Udyan Utsav),Free (Online registration on Rashtrapati Bhavan portal required),4.8,28.6143,77.197,"President's Secretariat, Rashtrapati Bhavan","Name: Amrit Udyan (Mughal Gardens, Rashtrapati Bhavan). Category: Garden / Presidential Heritage Gardens. Description: The world-famous 15-acre presidential garden blending Mughal Charbagh layouts with English country florals, boasting 150+ varieties of rare roses.. Location: Rashtrapati Bhavan, Raisina Hill, New Delhi. Best Time: February to March during annual public opening season (Udyan Utsav)."
34,Waste to Wonder Theme Park,"Open Fields, Gardens & Nature",Open Field / Eco-Theme Park & Public Art,An eco-friendly open-air theme park showcasing full-scale replicas of the Seven Wonders of the World crafted entirely from 150 tons of industrial scrap metal.,"Inaugurated in February 2019 by the South Delhi Municipal Corporation (SDMC). Created as a global pioneering example of waste management under the Swachh Bharat Abhiyan, sculptors fabricated life-size models of the Taj Mahal, Eiffel Tower, Statue of Liberty, Leaning Tower of Pisa, Christ the Redeemer, Colosseum, and Great Pyramid using scrap automobile parts, discarded iron sheets, and rusted pipes.",The 60-foot Eiffel Tower replica illuminated at dusk against the lush surrounding park lawns.,images/34/image 1.jpg,images/34/image 2.jpg,images/34/image 3.jpg,images/34/image 4.jpg,images/34/image 5.jpg,"Near Nizamuddin Railway Station, Sarai Kale Khan, New Delhi",October to March (Evening 5:00 PM – 9:00 PM for lighting effects),"₹50 (Adults), ₹25 (Children 3–12 yrs), Free for Senior Citizens",4.4,28.591,77.253,Municipal Corporation of Delhi (MCD),"Name: Waste to Wonder Theme Park. Category: Open Field / Eco-Theme Park & Public Art. Description: An eco-friendly open-air theme park showcasing full-scale replicas of the Seven Wonders of the World crafted entirely from 150 tons of industrial scrap metal.. Location: Near Nizamuddin Railway Station, Sarai Kale Khan, New Delhi. Best Time: October to March (Evening 5:00 PM – 9:00 PM for lighting effects)."
35,Bharat Darshan Park,"Open Fields, Gardens & Nature",Open Field / Cultural Scrap Art Park,An 8.5-acre open park displaying miniature replicas of 22 of India's most iconic historical monuments fabricated from 350 metric tonnes of waste metal.,"Inaugurated in December 2021 by the Municipal Corporation of Delhi. Built under the theme 'Waste to Wealth', artists used discarded vehicle parts, iron grills, and scrap metal to recreate monuments such as the Sun Temple of Konark, Qutub Minar, Hawa Mahal, Khajuraho Temple, Gateway of India, and Meenakshi Temple, powered exclusively through solar energy.",Illuminated nighttime panorama of the scrap-metal Konark Sun Temple chariot and wheels against landscaped fountains.,images/35/image 1.jpg,images/35/image 2.jpg,images/35/image 3.jpg,images/35/image 4.jpg,images/35/image 5.jpg,"Punjabi Bagh, West Delhi",October to March (Evening 5:00 PM – 9:30 PM with illumination),"₹100 (Adults daytime), ₹150 (Adults evening), ₹50 (Children)",4.4,28.672,77.135,Municipal Corporation of Delhi (MCD),"Name: Bharat Darshan Park. Category: Open Field / Cultural Scrap Art Park. Description: An 8.5-acre open park displaying miniature replicas of 22 of India's most iconic historical monuments fabricated from 350 metric tonnes of waste metal.. Location: Punjabi Bagh, West Delhi. Best Time: October to March (Evening 5:00 PM – 9:30 PM with illumination)."
36,Shalimar Bagh (Sheesh Mahal Park),"Open Fields, Gardens & Nature",Garden / Historical Mughal Royal Garden,A historic Mughal royal pleasure garden laid out in 1653 where Emperor Aurangzeb had himself crowned Emperor of India in 1658.,"Laid out in 1653 by Aizz-un-Nisa Begum, one of Shah Jahan's consorts, following the formal Kashmiri Mughal Charbagh design. It served as a royal country retreat along the Grand Trunk Road. Following his victory in the battle of succession, Emperor Aurangzeb held his grand imperial coronation ceremony here on 31 July 1658. The central Sheesh Mahal pavilion displays historic arches and faded floral frescoes.",The arched red-stone Sheesh Mahal pavilion framed by vintage mango orchards and central fountains.,images/36/image 1.jpg,images/36/image 2.jpg,images/36/image 3.jpg,images/36/image 4.jpg,images/36/image 5.jpg,"Shalimar Bagh, North West Delhi",October to March (Morning 7:30 AM – 10:30 AM),Free,4.2,28.715,77.1585,Archaeological Survey of India (ASI),"Name: Shalimar Bagh (Sheesh Mahal Park). Category: Garden / Historical Mughal Royal Garden. Description: A historic Mughal royal pleasure garden laid out in 1653 where Emperor Aurangzeb had himself crowned Emperor of India in 1658.. Location: Shalimar Bagh, North West Delhi. Best Time: October to March (Morning 7:30 AM – 10:30 AM)."
37,Mehrauli Archaeological Park,"Open Fields, Gardens & Nature",Open Field / Archaeological Heritage Park,"A 200-acre open archaeological landscape containing over 100 historical monuments spanning 1,000 years of continuous Delhi history.","Encompasses the oldest continuously inhabited layer of Delhi, spanning the Rajput Tomar dynasty, the Delhi Sultanate, the Mughal Empire, and British colonial outposts. Prominent structures include the 13th-century Tomb of Ghiyas-ud-din Balban (first true arch in India), Jamali Kamali Mosque and Tomb (1528), Metcalfe's Folly, and Rajon ki Baoli. Developed into a contiguous heritage park by DDA and INTACH.",The weathered red sandstone façade of Jamali Kamali Mosque framed through ancient banyan trees.,images/37/image 1.jpg,images/37/image 2.jpg,images/37/image 3.jpg,images/37/image 4.jpg,images/37/image 5.jpg,"Anuvrat Marg, Mehrauli (Near Qutab Minar Metro), South Delhi",October to March (Morning 7:00 AM – 10:30 AM for photography),Free,4.5,28.5196,77.181,Archaeological Survey of India / INTACH,"Name: Mehrauli Archaeological Park. Category: Open Field / Archaeological Heritage Park. Description: A 200-acre open archaeological landscape containing over 100 historical monuments spanning 1,000 years of continuous Delhi history.. Location: Anuvrat Marg, Mehrauli (Near Qutab Minar Metro), South Delhi. Best Time: October to March (Morning 7:00 AM – 10:30 AM for photography)."
38,Sanjay Van,"Open Fields, Gardens & Nature",Open Field / Urban Wilderness Forest,"A dense 783-acre city forest in South Delhi featuring ancient 12th-century Lal Kot ramparts, rocky biking trails, and rich wildlife.","Contains preserved remnants of the massive stone ramparts of Lal Kot and Qila Rai Pithora, built in the 12th century by Prithviraj Chauhan. As part of Delhi's Southern Ridge, the forest serves as a vital ecological buffer and groundwater recharge zone. It is a habitat for jackals, nilgai, snakes, and over 150 species of resident and winter migrant birds.",Elevated view from the ancient 12th-century stone watchtower overlooking the sea of forest canopy towards Qutub Minar in the horizon.,images/38/image 1.jpg,images/38/image 2.jpg,images/38/image 3.jpg,images/38/image 4.jpg,images/38/image 5.jpg,"Vasant Kunj–Mehrauli–Qutub Institutional Area, South Delhi",October to March (Early morning 6:00 AM – 9:00 AM for bird-watching and trekking),Free,4.4,28.52,77.153,Delhi Development Authority (DDA),"Name: Sanjay Van. Category: Open Field / Urban Wilderness Forest. Description: A dense 783-acre city forest in South Delhi featuring ancient 12th-century Lal Kot ramparts, rocky biking trails, and rich wildlife.. Location: Vasant Kunj–Mehrauli–Qutub Institutional Area, South Delhi. Best Time: October to March (Early morning 6:00 AM – 9:00 AM for bird-watching and trekking)."
39,Okhla Bird Sanctuary,Lakes & Water Bodies,Lake & Wetland / Wildlife Sanctuary,"A 4-square-kilometer wetland sanctuary situated at the point where the Yamuna River enters Uttar Pradesh, home to over 300 bird species.","Created around the Okhla Barrage constructed across the Yamuna River in 1874. Declared a protected bird sanctuary in 1990 under the Wildlife Protection Act, 1972. The expansive shallow wetlands, reed beds, and open water bodies serve as a globally recognized Important Bird and Biodiversity Area (IBA), hosting large flocks of northern pintails, bar-headed geese, grebes, and vulnerable Indian skimmers during winter migration.",Elevated watchtower view across the Yamuna marshland with thousands of migratory waterfowl swimming at sunrise.,images/39/image 1.webp,images/39/image 2.webp,images/39/image 3.webp,images/39/image 4.webp,images/39/image 5.webp,"Okhla Barrage, South East Delhi–Noida Border",November to February (Sunrise 6:30 AM – 9:30 AM during peak winter migration),"₹30 (Indians), ₹350 (Foreigners)",4.3,28.565,77.315,UP Forest Department / Delhi Wildlife Division,"Name: Okhla Bird Sanctuary. Category: Lake & Wetland / Wildlife Sanctuary. Description: A 4-square-kilometer wetland sanctuary situated at the point where the Yamuna River enters Uttar Pradesh, home to over 300 bird species.. Location: Okhla Barrage, South East Delhi–Noida Border. Best Time: November to February (Sunrise 6:30 AM – 9:30 AM during peak winter migration)."
40,Asola Bhatti Wildlife Sanctuary,"Open Fields, Gardens & Nature",Open Field / Wildlife Sanctuary & Nature Trails,"A 32.7-square-kilometer protected wildlife sanctuary on the Southern Ridge containing rocky hills, thorny scrub forest, and deep canyon lakes.","Established in 1991 to protect the fragile Southern Aravalli Ridge forest corridor connecting Delhi to Sariska and Rajasthan. The sanctuary acts as a primary wildlife corridor in NCR for leopards, striped hyenas, jackals, blackbucks, and civets. The BNHS Conservation Education Centre (CEC) inside coordinates ecological research, butterfly parks, and guided nature trails.",Rugged rocky cliff looking over the dense acacia scrub forest with wild nilgai grazing along the trails.,images/40/image 1.webp,images/40/image 2.webp,images/40/image 3.webp,images/40/image 4.webp,images/40/image 5.webp,"Tughlaqabad / Asola, South Delhi",October to March (Early morning 6:00 AM – 10:00 AM),"₹20 (Indians), ₹100 (Foreigners)",4.4,28.4906,77.2581,Delhi Department of Forests & Wildlife / BNHS,"Name: Asola Bhatti Wildlife Sanctuary. Category: Open Field / Wildlife Sanctuary & Nature Trails. Description: A 32.7-square-kilometer protected wildlife sanctuary on the Southern Ridge containing rocky hills, thorny scrub forest, and deep canyon lakes.. Location: Tughlaqabad / Asola, South Delhi. Best Time: October to March (Early morning 6:00 AM – 10:00 AM)."
41,National Zoological Park (Delhi Zoo),"Open Fields, Gardens & Nature",Open Field / Zoological Park & Wildlife Reserve,A 176-acre green zoological park situated near Purana Qila housing over 130 species of animals and birds in expansive open-moated enclosures.,"Inaugurated on 1 November 1959 by Prime Minister Jawaharlal Nehru under the planning of Sri Lankan landscape architect Major Weinman and Carl Hagenbeck. Designed to provide natural open-moat habitats rather than cramped iron cages, the zoo plays a leading role in global conservation breeding programs for the royal Bengal tiger, Indian rhinoceros, and brow-antlered deer (Sangai).",Expansive open-moated green island enclosure with royal Bengal tigers walking along water streams.,images/41/image 1.jpg,images/41/image 2.jpg,images/41/image 3.jpg,images/41/image 4.jpg,images/41/image 5.jpg,"Mathura Road, Near Purana Qila, New Delhi",October to March (9:00 AM – 12:00 PM; Closed on Fridays),"₹80 (Adults), ₹40 (Children), ₹400 (Foreigners)",4.3,28.606,77.2435,"Central Zoo Authority / Ministry of Environment, Forest & CC","Name: National Zoological Park (Delhi Zoo). Category: Open Field / Zoological Park & Wildlife Reserve. Description: A 176-acre green zoological park situated near Purana Qila housing over 130 species of animals and birds in expansive open-moated enclosures.. Location: Mathura Road, Near Purana Qila, New Delhi. Best Time: October to March (9:00 AM – 12:00 PM; Closed on Fridays)."
42,Jahaz Mahal & Hauz-i-Shamsi,Lakes & Water Bodies,Historical Monument & Medieval Lake,A 15th-century Lodi palace shaped like a floating ship perched on the banks of the historic 13th-century Hauz-i-Shamsi water reservoir.,"Hauz-i-Shamsi was excavated in 1229 AD by Sultan Shams-ud-din Iltutmish following a dream where Prophet Muhammad guided him to a freshwater spring marked by a winged horse's hoofprint. In the late 15th century during the Lodi era, the Jahaz Mahal ('Ship Palace') was built alongside its banks as an inn (serai) for pilgrims and royal retreat. It serves as the primary stage for the annual Phool Walon Ki Sair communal harmony festival.",The blue-tiled dome and sandstone arches of Jahaz Mahal reflected in the waters of Hauz-i-Shamsi reservoir.,images/42/image 1.jpg,images/42/image 2.jpg,images/42/image 3.jpg,images/42/image 4.jpg,images/42/image 5.jpg,"Mehrauli Village, Near Aam Bagh, South Delhi",October to March (Afternoon 3:00 PM – 5:30 PM),Free,4.2,28.5147,77.1783,Archaeological Survey of India (ASI),"Name: Jahaz Mahal & Hauz-i-Shamsi. Category: Historical Monument & Medieval Lake. Description: A 15th-century Lodi palace shaped like a floating ship perched on the banks of the historic 13th-century Hauz-i-Shamsi water reservoir.. Location: Mehrauli Village, Near Aam Bagh, South Delhi. Best Time: October to March (Afternoon 3:00 PM – 5:30 PM)."
43,Zafar Mahal,Historical Forts & Monuments,Historical Palace / Ruins,"The final architectural palace built by the Mughal dynasty, featuring the towering Hathi Gate built by the last Mughal Emperor Bahadur Shah Zafar.","Originally constructed by Mughal Emperor Akbar Shah II in 1820 near the revered dargah of Qutbuddin Bakhtiyar Kaki in Mehrauli. In 1842, his son and the last Mughal Emperor Bahadur Shah Zafar II reconstructed the monumental red sandstone gateway (Hathi Gate) to accommodate royal elephant processions during the annual Phool Walon Ki Sair festival. An empty marble burial plot between the tombs of earlier emperors remains as Zafar died in exile in Rangoon.",The monumental three-storey red sandstone Hathi Darwaza gateway rising above the historic Mehrauli alleyways.,images/43/image 1.jpg,images/43/image 2.jpg,images/43/image 3.jpg,images/43/image 4.jpg,images/43/image 5.jpg,"Mehrauli Village, South Delhi",October to March (Morning 8:30 AM – 11:30 AM),Free,4.1,28.5222,77.1819,Archaeological Survey of India (ASI),"Name: Zafar Mahal. Category: Historical Palace / Ruins. Description: The final architectural palace built by the Mughal dynasty, featuring the towering Hathi Gate built by the last Mughal Emperor Bahadur Shah Zafar.. Location: Mehrauli Village, South Delhi. Best Time: October to March (Morning 8:30 AM – 11:30 AM)."
